"frequency","capture_date","species","animal_id","region","type","model","status","location"
"160.114","10/22/2015","bighorn","S396","Southern","VHF","ATS M2220B-lamb","AW","Sawmill Canyon"
"160.114","2/20/2015 ","bighorn","S357","Southern","VHF","ATS M2230B","AW","Sawmill Canyon"
"160.115",,"bighorn",,"Warren","GPS","Vectronics Survey","on order","Warren"
"160.119",,"bobcat trap",,"South and Central","VHF","trap","OW","RV-Big Pine"
"160.119",,"Dog",,"South",,,"AW","J_Davis"
"160.120",,"bighorn",,"Gibbs","GPS","Vectronics Survey","on order","Gibbs"
"160.120","3/24/2016 ","bighorn","S431","Southern","GPS","Vectronics Survey","AW","Taboose Creek"
"160.125","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.125","10/28/2012","bighorn","S94","Central","GPS","Lotek 8000","AW","Wheeler Ridge"
"160.126","","deer","GDL043","GD","VHF/GPS","Various","AW","GD"
"160.130","","deer","RVD911","RV","VHF/GPS","Various","AW","RV"
"160.130","3/24/2016 ","bighorn","S429","Southern","GPS","Vectronics Survey","AW","Mt. Langley"
"160.135",,"deer",,"GD","GPS",,"on order","GD"
"160.138","","bighorn","","office","VHF","ATS","OW","office"
"160.144","1/19/2016","bobcat","BC009","Sawmill","GPS","Iridium ATS","AW","Sawmill Canyon"
"160.145","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.150","1/22/2016","bobcat","BC014","Independence-Lone Pine","GPS","Iridium ATS","AW","Independence-Lone Pine"
"160.150","11/2/2016 ","bighorn","S296","Northern","GPS","Vectronics Survey","AW","Cathedral"
"160.150","3/25/2016","Elk",,"Big Pine",,,"AW","W. Tinemaha"
"160.155",,"deer",,"CD","GPS",,"on order","CD"
"160.155",,"Elk",,"Bishop","GPS","Tellus Followit","AW","Bishop"
"160.160",,"deer",,"CD","GPS",,"on order","CD"
"160.160","2/19/2015 ","bighorn","S353","Central","GPS","Vectronics Survey","AW","Wheeler Ridge"
"160.161","","deer","GDL032","GD","VHF/GPS","Various","AW","GD"
"160.162","10/28/2014","bighorn","S343","Southern","VHF","ATS M2230B","AW","Mt. Langley"
"160.168","","bighorn","","office","VHF","ATS","OW","office"
"160.171","","deer","RVD878","RV","VHF/GPS","Various","AW","RV"
"160.171","3/25/2016","Elk",,"Big Pine","GPS","ATS Globalstar","AW","W. Tinemaha"
"160.175","10/19/2014","bighorn","S310","Southern","VHF","ATS M2230B","AW","Sawmill Canyon"
"160.175","3/19/2014 ","bighorn","S287","Kern","","Lotek 8000","AWX","Big Arroyo"
"160.176",,"deer",,"RV","GPS",,"on order","RV"
"160.183","10/24/2015","bighorn","S411","Southern","VHF","ATS M2230B","AW","Taboose Creek"
"160.185","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.185","","deer","RVD882","RV","VHF/GPS","Various","AW","RV"
"160.190",,"bobcat",,"South and Central","GPS","Iridium Vectronics","OW","RV-Olancha"
"160.190",,"deer",,"CD","GPS",,"on order","CD"
"160.195",,"bobcat",,"South","GPS","Iridium Vectronics","OW","Big Pine-Olancha"
"160.195",,"deer",,"RV","GPS",,"on order","RV"
"160.195","10/23/2015","bighorn","S399","Central","","Lotek LifecycleL","AWX","Convict Creek"
"160.199",,"bobcat",,"South","GPS","Iridium ATS","OW","Big Pine-Olancha"
"160.200",,"deer",,"RV","GPS",,"on order","RV"
"160.201",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"160.205","3/19/2016 ","bighorn","S424","Central","VHF","ATS M2230B","AW","Convict Creek"
"160.206","","bighorn","","office","VHF","ATS","OW","office"
"160.210",,"Elk",,"Bishop","GPS","Tellus Followit","AW","Bishop"
"160.210","3/22/2014 ","bighorn","S292","Southern","VHF","ATS M2230B","AW","Olancha Peak"
"160.211",,"bobcat",,"Big Pine-Independence","GPS",,"on order","Big Pine-Independence"
"160.211",,"deer",,"CD","GPS",,"on order","CD"
"160.216",,"deer",,"CD","GPS",,"on order","CD"
"160.216","","deer","GDL038","GD","VHF/GPS","Various","AW","GD"
"160.221","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.225","","deer","RVD853","RV","VHF/GPS","Various","AW","RV"
"160.225","10/24/2015","bighorn","S407","Southern","VHF","ATS M2230B","AW","Mt. Langley"
"160.229","","bighorn","","office","VHF","ATS","OW","office"
"160.230",,"bobcat trap",,"RV-Olancha","unique pulse","trap","on order","RV-Olancha"
"160.230","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.230","","bighorn","","office","VHF","Vectronics","OW","office"
"160.230","","deer","CDB078","CD","VHF/GPS","Various","AW","CD"
"160.232","","bighorn","","office","VHF","ATS","OW","office"
"160.237","","deer","GDL047","GD","VHF/GPS","Various","AW","GD"
"160.239","","bighorn","","office","VHF","ATS","OW","office"
"160.241",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"160.241","","deer","RVD854","RV","VHF/GPS","Various","AW","RV"
"160.241","3/27/2015 ","bighorn","S377","Kern","VHF","ATS M2230B","AW","Laurel Creek"
"160.243","10/21/2014","bighorn","S325","Southern","VHF","ATS M2230B","AW","Sawmill Canyon"
"160.244","","bighorn","","office","VHF","ATS","OW","office"
"160.246","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.250","","bighorn","","office","VHF","ATS","OW","office"
"160.253","11/2/2016 ","bighorn","S455","Northern","VHF","ATS M2230S","AW","Cathedral"
"160.254","","bighorn","","office","VHF","ATS","OW","office"
"160.255","1/20/2016","bobcat","BC011","Independence","GPS","Iridium ATS","AW","Mt. Baxter"
"160.255","3/19/2016 ","bighorn","S418","Central","VHF","ATS M2230B","AW","Wheeler Ridge"
"160.260","","bighorn","","office","VHF","Vectronics","OW","office"
"160.265","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.266","","deer","GDL037","GD","VHF/GPS","Various","AW","GD"
"160.266","3/27/2015 ","bighorn","S376","Kern","VHF","ATS M2230B","AW","Laurel Creek"
"160.269",,"bobcat trap",,"South and Central","VHF","trap","OW","RV-Big Pine"
"160.269","","bighorn","","office","VHF","ATS","OW","office"
"160.27",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"160.270","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.271","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.275","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.275","","bighorn","","office","VHF","ATS","OW","office"
"160.276","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.279","11/2/2016 ","bighorn","S456","Northern","VHF","ATS M2230S","AW","Cathedral"
"160.281","","deer","RVD870","RV","VHF/GPS","Various","AW","RV"
"160.282","3/24/2016 ","bighorn","S70","Southern","VHF","ATS M2230B","AW","Mt. Langley"
"160.283","1/21/2016","bobcat","BC013","Independence","GPS","Iridium ATS","AW","Mt. Baxter"
"160.288","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.290",,"bighorn",,"Central-Flex","GPS","Vectronics Vertex","on order","Central-Flex"
"160.291",,"Dog",,"South",,,"AW","J_Davis"
"160.295","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.295","3/19/2016 ","bighorn","S419","Central","VHF","ATS M2230B","AW","Wheeler Ridge"
"160.300","10/21/2015","bighorn","S241","Central","VHF","ATS M2230B","AW","Wheeler Ridge"
"160.300","3/26/2015 ","bighorn","S367","Northern","","Televilt Tellus Iridium","AWQ","Cathedral"
"160.302","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.307",,"bobcat",,"Central","GPS","Iridium Vectronics","OW","RV-Big Pine"
"160.307",,"deer",,"CD","GPS",,"on order","CD"
"160.307","10/26/2016","bighorn","S442","Southern","GPS","Vectronics SurveyL","AW","Sawmill Canyon"
"160.307","10/28/2014","bighorn","S340","Southern","VHF","ATS M2230B","AW","Mt. Langley"
"160.312",,"deer",,"CD","GPS",,"on order","CD"
"160.312","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.317","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.317","","deer","GDL095","GD","VHF/GPS","Various","AW","GD"
"160.321","10/30/2009","bighorn","S159","Northern","VHF","ATS M2220B","AW","Mt. Gibbs"
"160.322","10/31/2009","bighorn","S171","Southern","VHF","ATS M2220B","AW","Mt. Williamson"
"160.322","2/19/2015 ","bighorn","S355","Southern","VHF","ATS M2230B","AW","Taboose Creek"
"160.325","","deer","RVD919","RV","VHF/GPS","Various","AW","RV"
"160.330","10/31/2016","bighorn","S444","Southern","GPS","Vectronics SurveyL","AW","Mt. Langley"
"160.330","2/19/2015 ","bighorn","S354","Southern","GPS","Vectronics Survey","AW","Taboose Creek"
"160.333","","bighorn","","office","VHF","ATS","OW","office"
"160.334","10/23/2015","bighorn","S405","Central","VHF","ATS M2230B","AW","Wheeler Ridge"
"160.335","","bighorn","","office","VHF","ATS","OW","office"
"160.335","3/24/2016 ","bighorn","S433","Southern","VHF","ATS M2230B","AW","Mt. Baxter"
"160.336","10/28/2011","bighorn","S211","Southern","VHF","ATS M2220B","AW","Mt. Langley"
"160.339","","deer","GDL041","GD","VHF/GPS","Various","AW","GD"
"160.34",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"160.340","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.340","11/2/2016 ","bighorn","S297","Northern","GPS","Vectronics Survey","AW","Cathedral"
"160.343","","bighorn","","office","VHF","ATS","OW","office"
"160.344","10/19/2014","bighorn","S315","Southern","VHF","ATS M2230B","AW","Bubbs Creek"
"160.345","10/24/2015","bighorn","S412","Southern","VHF","ATS M2230B","AW","Taboose Creek"
"160.346","","deer","RVD880","RV","VHF/GPS","Various","AW","RV"
"160.350",,"deer",,"GD","GPS",,"on order","GD"
"160.351",,"deer",,"RV","GPS",,"on order","RV"
"160.355",,"deer",,"GD","GPS",,"on order","GD"
"160.360",,"deer",,"RV","GPS",,"on order","RV"
"160.360","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.360","10/19/2014","bighorn","S312","Southern","","Vectronics Survey","AWX","Sawmill Canyon"
"160.365",,"deer",,"RV","GPS",,"on order","RV"
"160.365","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.370","11/1/2016 ","bighorn","S452","Kern","GPS","Vectronics Survey","AW","Laurel Creek"
"160.371","","deer","GDL039","GD","VHF/GPS","Various","AW","GD"
"160.372",,"Sage grouse",,"Bodie Hills",,,"AW","Bodie Hills"
"160.373","3/26/2015 ","bighorn","S373","Northern","VHF","ATS M2230B","AW","Cathedral"
"160.375","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.376","","deer","GDL057","GD","VHF/GPS","Various","AW","GD"
"160.380",,"deer",,"CD","GPS",,"on order","CD"
"160.381","","deer","GDL054","GD","VHF","ATS","NR","GD"
"160.384","10/21/2015","bighorn","S386","Central","VHF","ATS M2230B","AW","Wheeler Ridge"
"160.385","3/24/2016 ","bighorn","S177","Southern","VHF","ATS M2230B","AW","Mt. Langley"
"160.386","","deer","GDL049","GD","VHF/GPS","Various","AW","GD"
"160.386","3/26/2015 ","bighorn","S372","Northern","VHF","ATS M2230B","AW","Cathedral"
"160.387","10/28/2014","bighorn","S266","Southern","VHF","ATS M2230B","AW","Mt. Langley"
"160.390",,"deer",,"RV","GPS",,"on order","RV"
"160.390","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.391",,"Dog",,"South",,,"AW","J_Davis"
"160.395",,"bobcat trap",,"RV-Olancha","unique pulse","trap","on order","RV-Olancha"
"160.395",,"deer",,"GD","GPS",,"on order","GD"
"160.396","","deer","CDB060","CD","VHF/GPS","Various","AW","CD"
"160.400","","deer","RVD859","RV","VHF/GPS","Various","AW","RV"
"160.400","3/26/2016","Elk",,"office","GPS",,"OW","office"
"160.400","4/4/2015","Elk",,"Lone Pine","GPS","ATS Globalstar","AW","Lone Pine"
"160.403","10/18/2014","bighorn","S229","Southern","VHF","ATS M2230B","AW","Mt. Baxter"
"160.405","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.409","10/21/2014","bighorn","S320","Southern","VHF","ATS M2230B","AW","Sawmill Canyon"
"160.410","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.410","10/31/2016","bighorn","S447","Southern","GPS","Vectronics SurveyL","AW","Mt. Langley"
"160.415","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.416",,"Elk",,"Independence","GPS","ATS Globalstar","AW","E. Independence"
"160.420","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.425",,"Elk",,"Big Pine","GPS","Tellus Followit","AW","W. Tinemaha"
"160.425","10/22/2014","bighorn","S328","Northern","VHF","ATS M2230B","AW","Mt. Warren"
"160.425","3/25/2013 ","bighorn","S279","Southern","","Televilt Tellus Iridium","AWX","Olancha Peak"
"160.426","","deer","RVD865","RV","VHF/GPS","Various","AW","RV"
"160.430",,"bobcat",,"Big Pine-Independence","GPS",,"on order","Big Pine-Independence"
"160.435",,"Elk",,"Lone Pine","GPS","Tellus Followit","AW","Lone Pine"
"160.435","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.435","3/22/2014 ","bighorn","S206","Southern","VHF","ATS M2230B","AW","Olancha Peak"
"160.440",,"bobcat trap",,"RV-Olancha","unique pulse","trap","on order","RV-Olancha"
"160.440","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.442","","deer","CDB059","CD","VHF/GPS","Various","AW","CD"
"160.446","","bighorn","","office","VHF","ATS","OW","office"
"160.450","3/22/2014 ","bighorn","S292","Southern","","Televilt Tellus Iridium","AWX","Olancha Peak"
"160.450","3/25/2016","Elk",,"Big Pine","GPS",,"AW","W. Tinemaha"
"160.451",,"deer",,"CD","GPS",,"on order","CD"
"160.455",,"bobcat",,"Central","GPS","Iridium Vectronics","OW","RV-Big Pine"
"160.455",,"Elk",,"Lone Pine","GPS","ATS Globalstar","AW","Alabama Gates"
"160.457","","deer","CDB062","CD","VHF/GPS","Various","AW","CD"
"160.459","","bighorn","","office","VHF","ATS","OW","office"
"160.461","10/19/2014","bighorn","S312","Southern","VHF","ATS M2230B","AW","Sawmill Canyon"
"160.464","3/19/2016 ","bighorn","S240","Central","VHF","ATS M2230B","AW","Wheeler Ridge"
"160.465",,"bighorn",,"Gibbs","GPS","Vectronics Vertex","on order","Gibbs"
"160.468","3/19/2014 ","bighorn","S281","Kern","VHF","ATS M2230B","AW","Big Arroyo"
"160.470","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.475",,"deer",,"CD","GPS",,"on order","CD"
"160.480",,"bobcat",,"South","GPS","Iridium Vectronics","OW","Big Pine-Olancha"
"160.480","","deer","RVD868","RV","VHF/GPS","Various","AW","RV"
"160.484",,"Elk",,"office","GPS","Tellus Followit","OW","office"
"160.484","3/22/2014 ","bighorn","S293","Southern","VHF","ATS M2230B","AW","Olancha Peak"
"160.485",,"bighorn",,"Central-Flex","GPS","Vectronics Vertex","on order","Central-Flex"
"160.485","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.490",,"bobcat",,"South and Central","GPS","Iridium Vectronics","OW","RV-Olancha"
"160.491","","deer","CDB043","CD","VHF/GPS","Various","AW","CD"
"160.496","10/29/2012","bighorn","S252","Southern","VHF","ATS M2220B-lamb","AW","Sawmill Canyon"
"160.496","10/31/2009","bighorn","S127","Southern","VHF","ATS M2220B-lamb","AW","Sawmill Canyon"
"160.497","","deer","RVD875","RV","VHF/GPS","Various","AW","RV"
"160.500","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.500","3/26/2016","Elk",,"South","GPS",,"AW","Whitney"
"160.504","10/28/2014","bighorn","S338","Southern","VHF","ATS M2230B","AW","Taboose Creek"
"160.505",,"deer",,"RV","GPS",,"on order","RV"
"160.505","3/27/2015 ","bighorn","S381","Kern","VHF","ATS M2230B","AW","Laurel Creek"
"160.513","","bighorn","","office","VHF","ATS","OW","office"
"160.515","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.515","3/19/2016 ","bighorn","S417","Central","VHF","ATS M2230B","AW","Wheeler Ridge"
"160.516","","deer","GDL040","GD","VHF","ATS","NR","GD"
"160.516","3/27/2015 ","bighorn","S378","Kern","VHF","ATS M2230B","AW","Laurel Creek"
"160.520","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.524","","bighorn","","office","VHF","ATS","OW","office"
"160.525","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.525","10/21/2014","bighorn","S319","Southern","VHF","ATS M2230B","AW","Sawmill Canyon"
"160.530","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.530","","deer","CDB052","CD","VHF/GPS","Various","AW","CD"
"160.533","3/30/2015 ","bighorn","S204","Kern","VHF","ATS M2230B","AW","Laurel Creek"
"160.534","10/19/2014","bighorn","S307","Southern","VHF","ATS M2230B","AW","Mt. Baxter"
"160.535",,"bighorn",,"Langley","GPS","Tellus","new","Langley"
"160.535","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.540",,"bighorn",,"new--north","GPS","Vec fem","missing","new--north"
"160.540",,"bobcat",,"South and Central","GPS","Iridium Vectronics","OW","RV-Olancha"
"160.540","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.540","","bighorn","","office","VHF","ATS","OW","office"
"160.545",,"deer",,"CD","GPS",,"on order","CD"
"160.545",,"deer",,"GD","GPS",,"on order","GD"
"160.550","10/28/2014","bighorn","S338","Southern","GPS","Televilt Tellus Iridium","AW","Taboose Creek"
"160.550","3/26/2016","Elk",,"Lone Pine","GPS",,"AW","Lone Pine"
"160.550","3/27/2015 ","bighorn","S381","Kern","GPS","Televilt Tellus Iridium","AW","Laurel Creek"
"160.550","4/3/2015 0","bighorn","S339","Northern","VHF","ATS M2230B","AW","Mt. Gibbs"
"160.555","10/26/2016","bighorn","S439","Southern","VHF","ATS M2230S","AW","Mt. Baxter"
"160.555","3/30/2015 ","bighorn","S322","Kern","VHF","ATS M2230B","AW","Laurel Creek"
"160.557","","deer","RVD856","RV","VHF/GPS","Various","AW","RV"
"160.560",,"bobcat",,"South","GPS","Iridium Vectronics","OW","Big Pine-Olancha"
"160.562",,"deer",,"RV","GPS",,"on order","RV"
"160.565","10/18/2014","bighorn","S299","Southern","VHF","ATS M2230B","AW","Mt. Baxter"
"160.567","","deer","RVD862","RV","VHF/GPS","Various","AW","RV"
"160.571","10/21/2014","bighorn","S326","Southern","VHF","ATS M2230B","AW","Sawmill Canyon"
"160.572","","bighorn","","office","VHF","ATS","OW","office"
"160.572","","deer","CDB036","CD","VHF/GPS","Various","AW","CD"
"160.576","","deer","RVD871","RV","VHF/GPS","Various","AW","RV"
"160.580","2/19/2015 ","bighorn","S350","Central","VHF","ATS M2230B","AW","Wheeler Ridge"
"160.581",,"bighorn",,"Gibbs","GPS","Vectronics Vertex","on order","Gibbs"
"160.585",,"bighorn",,"Central","GPS","Vectronics Survey","on order","Wheeler/Convict"
"160.586",,"bighorn",,"Gibbs","GPS","Vectronics Survey","on order","Gibbs"
"160.586","","deer","GDL045","GD","VHF/GPS","Various","AW","GD"
"160.591","","deer","RVD887","RV","VHF/GPS","Various","AW","RV"
"160.591","3/26/2015 ","bighorn","S368","Northern","GPS","SirTrack Pinnacle Lite","AW","Cathedral"
"160.592","","bighorn","","office","VHF","ATS","OW","office"
"160.596",,"Elk",,"Independence","GPS","ATS Globalstar","AW","Independence"
"160.597",,"bighorn",,"Central","GPS","Vectronics Vertex","on order","Wheeler/Convict"
"160.600",,"bighorn",,"Langley","GPS","Sirtrack","new","Langley"
"160.604",,"deer",,"RV","GPS",,"on order","RV"
"160.605",,"Elk",,"Lone Pine","GPS","Tellus Followit","AW","Alabama Gates"
"160.605","3/25/2013 ","bighorn","S280","Southern","","Televilt Tellus Iridium","AWX","Olancha Peak"
"160.609","4/3/2015 0","bighorn","S250","Northern","VHF","ATS M2230B","AW","Mt. Gibbs"
"160.610","","bighorn","","office","VHF","Vectronics","OW","office"
"160.614","","bighorn","","office","VHF","ATS","OW","office"
"160.615",,"bighorn",,"Wheeler/Convict","GPS","Tellus","new","Wheeler/Convict"
"160.615",,"Elk",,"Independence","GPS","ATS Globalstar","AW","E. Independence"
"160.620",,"deer",,"RV","GPS",,"on order","RV"
"160.620","10/21/2014","bighorn","S232","Southern","VHF","ATS M2230B","AW","Sawmill Canyon"
"160.620","10/27/2011","bighorn","S199","Southern","","Televilt Tellus Basic","AWX","Mt. Baxter"
"160.625","10/19/2014","bighorn","S314","Southern","GPS","Vectronics Survey","AW","Sawmill Canyon"
"160.625","2/19/2015 ","bighorn","S353","Central","VHF","ATS M2230B","AW","Wheeler Ridge"
"160.629","","bighorn","","office","VHF","ATS","OW","office"
"160.629","2/20/2015 ","bighorn","S363","Southern","VHF","ATS M2230B","AW","Mt. Baxter"
"160.634",,"bighorn",,"Gibbs","GPS","Vectronics Survey","on order","Gibbs"
"160.635",,"Elk",,"Bishop","GPS","ATS Globalstar","AW","Bishop"
"160.639","10/19/2014","bighorn","S317","Southern","VHF","ATS M2230B","AW","Bubbs Creek"
"160.639","10/21/2015","bighorn","S385","Central","VHF","ATS M2230B","AW","Wheeler Ridge"
"160.642","3/27/2013 ","bighorn","S191","Northern","VHF","ATS M2230B","AW","Mt. Gibbs"
"160.645","10/27/2014","bighorn","S345","Central","VHF","ATS M2230B","AW","Convict Creek"
"160.648","","bighorn","","office","VHF","ATS","OW","office"
"160.649","10/31/2016","bighorn","S448","Southern","VHF","ATS M2230S","AW","Sawmill Canyon"
"160.650","10/21/2015","bighorn","S384","Central","VHF","ATS M2230B","AW","Wheeler Ridge"
"160.650","3/24/2016 ","bighorn","S425","Southern","VHF","ATS M2230B","AW","Mt. Langley"
"160.655",,"deer",,"RV","GPS",,"on order","RV"
"160.657",,"Elk",,"Independence","GPS","Tellus Followit","AW","E. Independence"
"160.661","","deer","RVD857","RV","VHF/GPS","Various","AW","RV"
"160.662",,"bobcat",,"South","GPS","Iridium Vectronics","OW","Big Pine-Olancha"
"160.662","10/27/2014","bighorn","S186","Northern","VHF","ATS M2230B","AW","Mt. Gibbs"
"160.668",,"Elk",,"Independence","GPS","ATS Globalstar","AW","Independence"
"160.670",,"bighorn",,"Gibbs","GPS","Vectronics Survey","on order","Gibbs"
"160.670",,"bighorn",,"Wheeler/Convict","GPS","Tellus","new","Wheeler/Convict"
"160.672","10/21/2014","bighorn","S321","Southern","VHF","ATS M2230B","AW","Sawmill Canyon"
"160.675",,"Elk",,"office","GPS","Tellus Followit","OW","office"
"160.675","10/21/2015","bighorn","S383","Central","VHF","ATS M2230B","AW","Wheeler Ridge"
"160.679","2/20/2015 ","bighorn","S360","Southern","VHF","ATS M2230B","AW","Sawmill Canyon"
"160.679","3/26/2015 ","bighorn","S370","Northern","VHF","ATS M2230B","AW","Cathedral"
"160.680",,"bighorn",,"Central","GPS","Vectronics Vertex","on order","Wheeler/Convict"
"160.685",,"bighorn",,"Gibbs","VHF","VIT","on order","Gibbs"
"160.685",,"bobcat",,"Central","GPS","Iridium Vectronics","OW","RV-Big Pine"
"160.685","10/26/2016","bighorn","S440","Southern","GPS","Vectronics SurveyL","AW","Mt. Baxter"
"160.687",,"Elk",,"Lone Pine","GPS","ATS Globalstar","AW","Alabama Gates"
"160.690",,"deer",,"RV","GPS",,"on order","RV"
"160.690","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.690","11/1/2016 ","bighorn","S352","Kern","GPS","Vectronics Survey","AW","Laurel Creek"
"160.694","3/29/2015 ","bighorn","S295","Northern","VHF","ATS M2230B","AW","Cathedral"
"160.695","","deer","GDL071","GD","VHF","ATS","NR","GD"
"160.695","3/19/2016 ","bighorn","S422","Central","GPS","Vectronics Survey","AW","Convict Creek"
"160.697",,"Dog",,"South",,,"AW","J_Davis"
"160.700","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.700","","deer","RVD863","RV","VHF/GPS","Various","AW","RV"
"160.705",,"deer",,"RV","GPS",,"on order","RV"
"160.705",,"Pronghorn",,"Bodie Hills","GPS","Tellus","AW","Bodie Hills"
"160.707","10/18/2014","bighorn","S223","Southern","VHF","ATS M2230B","AW","Mt. Baxter"
"160.710","","deer","CDB033","CD","VHF","ATS","NR","CD"
"160.712",,"bobcat",,"South and Central","GPS","Iridium Vectronics","OW","RV-Olancha"
"160.713","3/27/2015 ","bighorn","S382","Kern","VHF","ATS M2230B","AW","Laurel Creek"
"160.719","","bighorn","","office","VHF","ATS","OW","office"
"160.724",,"bighorn",,"Central-Flex","GPS","Vectronics Vertex","on order","Central-Flex"
"160.724","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.729","","bighorn","","office","VHF","ATS","OW","office"
"160.729","10/23/2015","bighorn","S397","Central","VHF","ATS M2230B","AW","Convict Creek"
"160.730","10/19/2014","bighorn","S309","Southern","VHF","ATS M2230B","AW","Sawmill Canyon"
"160.735",,"Elk",,"Independence","GPS","ATS Globalstar","AW","Independence"
"160.738","","bighorn","","office","VHF","ATS","OW","office"
"160.739","10/24/2015","bighorn","S413","Central","VHF","ATS M2230B","AW","Wheeler Ridge"
"160.742","10/18/2014","bighorn","S298","Southern","VHF","ATS M2230B","AW","Mt. Baxter"
"160.744",,"bighorn",,"Gibbs","VHF","VIT","on order","Gibbs"
"160.746","10/21/2015","bighorn","S248","Central","VHF","ATS M2230B","AW","Wheeler Ridge"
"160.749","","bighorn","","office","VHF","ATS","OW","office"
"160.750",,"Elk",,"Independence","GPS","Tellus Followit","AW","Independence"
"160.750","3/22/2014 ","bighorn","S193","Kern","","Televilt Tellus Iridium","AWX","Big Arroyo"
"160.757","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"160.757","","deer","RVD903","RV","VHF/GPS","Various","AW","RV"
"160.758","3/26/2016","Elk",,"South","GPS","ATS Globalstar","AW","Whitney"
"160.764","10/19/2014","bighorn","S306","Southern","VHF","ATS M2230B","AW","Mt. Baxter"
"160.764","3/26/2015 ","bighorn","S375","Northern","VHF","ATS M2230B","AW","Cathedral"
"160.765","","deer","RVD909","RV","VHF/GPS","Various","AW","RV"
"160.768",,"Dog",,"South",,,"AW","J_Davis"
"160.771","","bighorn","","office","VHF","ATS","OW","office"
"160.776",,"deer",,"RV","GPS",,"on order","RV"
"160.777",,"Dog",,"South",,,"AW","J_Davis"
"160.780","3/24/2016 ","bighorn","S432","Southern","VHF","ATS M2230B","AW","Mt. Baxter"
"160.781",,"Elk",,"Lone Pine","GPS","Tellus Followit","AW","Lone Pine"
"160.781","3/25/2013 ","bighorn","S279","Southern","VHF","ATS M2230B","AW","Olancha Peak"
"160.782","","deer","CDB040","CD","VHF/GPS","Various","AW","CD"
"160.787","","bighorn","","office","VHF","Vectronics","OW","office"
"160.790",,"Pronghorn",,"Bodie Hills","GPS","Tellus","OW","Bodie Hills"
"160.792",,"Elk",,"Bishop","GPS","Tellus Followit","AW","Bishop"
"160.792","3/26/2013 ","bighorn","S210","Southern","VHF","ATS M2230B","AW","Olancha Peak"
"160.794","","bighorn","","office","VHF","ATS","OW","office"
"160.795",,"Dog",,"Central",,,"AW","J_Ostergard"
"160.797","3/26/2015 ","bighorn","S365","Northern","VHF","ATS M2230B","AW","Cathedral"
"160.801","","deer","RVD883","RV","VHF/GPS","Various","AW","RV"
"160.801","10/18/2014","bighorn","S303","Southern","VHF","ATS M2230B","AW","Mt. Baxter"
"160.805",,"Dog",,"South",,,"AW","J_Davis"
