"frequency","capture_date","species","animal_id","region","type","model","status","location"
"159.145",,"bighorn",,"Central","VHF","VIT","on order","Wheeler/Convict"
"159.145","","deer","CDB018","CD","VHF/GPS","Various","AW","CD"
"159.145","3/24/2016 ","bighorn","S425","Southern","GPS","Vectronics Vertex","AW","Mt. Langley"
"159.150","","deer","GDL003","GD","VHF/GPS","Various","AW","GD"
"159.150","10/21/2015","bighorn","S241","Central","","Vectronics Survey","AWX","Wheeler Ridge"
"159.150","4/3/2015 0","bighorn","S250","Northern","","Televilt Tellus Iridium1D","AWQX","Mt. Gibbs"
"159.155",,"bighorn",,"Cathedral","VHF","VIT","on order","Cathedral"
"159.155",,"bobcat",,"South","GPS","Iridium Vectronics","OW","Big Pine-Olancha"
"159.155",,"deer",,"Far North","GPS",,"on order","Mono-Walker"
"159.155","3/19/2016 ","bighorn","S222","Central","GPS","Vectronics Vertex","AW","Convict Creek"
"159.160",,"bighorn",,"Cathedral","VHF","VIT","on order","Cathedral"
"159.160",,"deer",,"Far North","GPS",,"on order","Mono-Walker"
"159.160","","deer","GDL020","GD","VHF/GPS","Various","AW","GD"
"159.160","10/23/2015","bighorn","S397","Central","","Televilt Tellus Iridium1D","AWQ","Convict Creek"
"159.165",,"deer",,"CD","GPS",,"on order","CD"
"159.165","","deer","GDL026","GD","VHF/GPS","Various","AW","GD"
"159.165","10/28/2014","bighorn","S340","Southern","GPS","Vectronics Survey","AW","Mt. Langley"
"159.170",,"bobcat",,"RV-Big Pine","GPS",,"on order","RV-Big Pine"
"159.170","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"159.175",,"bobcat trap",,"South and Central","VHF","trap","OW","RV-Big Pine"
"159.175","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"159.176","","bighorn","","office","VHF","ATS","OW","office"
"159.177","3/29/2015 ","bighorn","S358","Southern","VHF","ATS M2230B","AW","Olancha Peak"
"159.178",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.181","10/31/2009","bighorn","S170","Southern","VHF","ATS M2220B","AW","Mt. Williamson"
"159.182","10/23/2015","bighorn","S398","Central","","Televilt Tellus Iridium1D","AWQ","Convict Creek"
"159.182","10/27/2011","bighorn","S203","Southern","VHF","ATS M2220B","AW","Sawmill Canyon"
"159.185","","deer","CDB024","CD","VHF/GPS","Various","AW","CD"
"159.187","10/21/2015","bighorn","S385","Central","","Televilt Tellus Iridium1D","AWQ","Wheeler Ridge"
"159.188",,"Elk",,"Big Pine","VHF",,"AW","Crater Mtn"
"159.190",,"deer",,"Far North","GPS",,"on order","Mono-Walker"
"159.190","","deer","GDL005","GD","VHF/GPS","Various","AW","GD"
"159.192",,"bighorn",,"Central","GPS","Vectronics Vertex","on order","Wheeler/Convict"
"159.192","","bighorn","","office","GPS Satellite Downld","Televilt","OW","office"
"159.195","","deer","GDL009","GD","VHF/GPS","Various","AW","GD"
"159.198",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.198","3/27/2015 ","bighorn","S376","Kern","GPS","Vectronics Survey","AW","Laurel Creek"
"159.200",,"bighorn",,"Cathedral","GPS","Vectronics Survey","on order","Cathedral"
"159.200",,"bobcat",,"RV-Big Pine","GPS",,"on order","RV-Big Pine"
"159.200","11/2/2016 ","bighorn","S454","Southern","GPS","Vectronics SurveyL","AW","Mt. Baxter"
"159.205",,"Bear",,"North","GPS","Iridium Vectronics","OW","North"
"159.205",,"deer",,"RV","GPS",,"on order","RV"
"159.205","","deer","GDL025","GD","VHF/GPS","Various","AW","GD"
"159.210",,"bighorn",,"Central","VHF","Vectronics Proximity","on order","Wheeler/Convict"
"159.210",,"bighorn",,"Central","VHF","VIT","on order","Wheeler/Convict"
"159.210",,"deer",,"GD","GPS",,"on order","GD"
"159.210","","deer","CDB023","CD","VHF/GPS","Various","AW","CD"
"159.211",,"Elk",,"office","VHF",,"OW","office - N"
"159.211","3/25/2013 ","bighorn","S277","Southern","VHF","ATS M2230B","AW","Olancha Peak"
"159.215",,"deer",,"Far North","GPS",,"on order","Mono-Walker"
"159.216","","deer","RVD884","RV","VHF/GPS","Various","AW","RV"
"159.217","10/30/2012","bighorn","S166","Southern","VHF","ATS M2220B","AW","Mt. Williamson"
"159.219",,"Elk",,"office","VHF",,"OW","office - N"
"159.221","10/27/2014","bighorn","S160","Northern","VHF","ATS M2230B","AW","Mt. Gibbs"
"159.225",,"Pronghorn",,"Bodie Hills","GPS","Tellus","AW","Bodie Hills"
"159.225","","deer","GDL030","GD","VHF","ATS","NR","GD"
"159.225","","deer","GDL080","GD","VHF/GPS","Various","AW","GD"
"159.226",,"deer",,"RV","GPS",,"on order","RV"
"159.226","4/3/2015 0","bighorn","S344","Northern","","Televilt Tellus Iridium1D","AWQ","Cathedral"
"159.230",,"bobcat",,"Central","GPS","Iridium Vectronics","OW","RV-Big Pine"
"159.230","10/21/2012","bighorn","S221","Southern","VHF","ATS M2220B","AW","Mt. Langley"
"159.230","10/26/2016","bighorn","S441","Southern","GPS","Vectronics SurveyL","AW","Sawmill Canyon"
"159.231",,"Bear",,"North","GPS","Iridium Vectronics","OW","North"
"159.232",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.235",,"deer",,"GD","GPS",,"on order","GD"
"159.236",,"bighorn",,"Central","VHF","Vectronics Proximity","on order","Wheeler/Convict"
"159.236",,"bighorn",,"Central","VHF","VIT","on order","Wheeler/Convict"
"159.236",,"deer",,"CD","GPS",,"on order","CD"
"159.241","","deer","CDB001","CD","VHF/GPS","Various","AW","CD"
"159.241","10/23/2015","bighorn","S336","Central","","Televilt Tellus Iridium1D","AWQ","Convict Creek"
"159.242","","deer","GDL035","GD","VHF/GPS","Various","AW","GD"
"159.245",,"Elk",,"Big Pine","VHF",,"AW","Crater Mtn"
"159.246","","bighorn","","office","GPS Satellite Downld","Televilt","OW","office"
"159.250","","deer","GDL007","GD","VHF/GPS","Various","AW","GD"
"159.251",,"deer",,"CD","GPS",,"on order","CD"
"159.255",,"bighorn",,"Langley","VHF","Vectronics Proximity","on order","Langley"
"159.255",,"bighorn",,"Langley","VHF","VIT","on order","Langley"
"159.255","10/28/2012","bighorn","S246","Central","","Televilt Tellus Iridium","AWX","Wheeler Ridge"
"159.256",,"deer",,"CD","GPS",,"on order","CD"
"159.261","","deer","RVD879","RV","VHF/GPS","Various","AW","RV"
"159.265",,"Elk",,"Big Pine","VHF",,"AW","Crater Mtn"
"159.265",,"Pronghorn",,"Bodie Hills","GPS","Tellus","AW","Bodie Hills"
"159.265","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"159.265","3/19/2016 ","bighorn","S222","Central","VHF","ATS M2220B","AW","Convict Creek"
"159.269",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.27",,"Bear",,"North","GPS","Iridium Vectronics","OW","North"
"159.270",,"bobcat",,"Central","GPS","Iridium Vectronics","OW","RV-Big Pine"
"159.270","","bighorn","","office","VHF","ATS","OW","office"
"159.271","10/28/2011","bighorn","S209","Southern","VHF","ATS M2220B","AW","Mt. Langley"
"159.274",,"deer",,"GD","GPS",,"on order","GD"
"159.275",,"bobcat trap",,"RV-Olancha","unique pulse","trap","on order","RV-Olancha"
"159.280",,"bobcat trap",,"South and Central","VHF","trap","OW","RV-Big Pine"
"159.280","","deer","CDB068","CD","VHF/GPS","Various","AW","CD"
"159.285",,"bighorn",,"Central","VHF","Vectronics Proximity","on order","Wheeler/Convict"
"159.285",,"bighorn",,"Central","VHF","VIT","on order","Wheeler/Convict"
"159.285","","deer","GDL066","GD","VHF/GPS","Various","AW","GD"
"159.29",,"Bear",,"North","GPS","Iridium Vectronics","OW","North"
"159.290","","deer","GDL031","GD","VHF/GPS","Various","AW","GD"
"159.290","","deer","GDL074","GD","VHF/GPS","Various","AW","GD"
